,business_name,service_name,on,address,lat,lng,gu,dong,l_dong
8825,커튼콜이앤엠,일반음식점,영업,서울특별시 강남구 역삼동 673,37.5048155,127.0391881,강남구,신사,신사동
8826,오셀리에,일반음식점,영업,서울특별시 강남구 신사동 554-5,37.5219319,127.0245008,강남구,역삼,역삼동
8827,아로보 서울 (ARROBO seoul),일반음식점,영업,서울특별시 강남구 신사동 508,37.5191062,127.0196871,강남구,신사,신사동
8828,디 청담,일반음식점,영업,서울특별시 강남구 청담동 125-24,37.5254238,127.0520146,강남구,논현,논현1동
8829,1977 소곱창,일반음식점,영업,서울특별시 강남구 역삼동 697-13,37.505308,127.0465948,강남구,청담,청담동
8830,부부 샐러드ㆍ샌드위치,일반음식점,영업,서울특별시 강남구 역삼동 769-1 삼환 아르누보,37.4958223,127.0399377,강남구,역삼,역삼1동
8831,카인다빈,일반음식점,영업,서울특별시 강남구 신사동 535-11,37.5192397,127.0226679,강남구,역삼,역삼동
8832,덴키라멘(DENKI RAMEN),일반음식점,영업,서울특별시 강남구 도곡동 417-5,37.484915,127.0451113,강남구,논현,논현1동
8833,BHC 강남논현점,일반음식점,영업,서울특별시 강남구 논현동 174-7,37.5100162,127.0311225,강남구,도곡,도곡동
8834,(주)드립드랍 논현점,일반음식점,영업,서울특별시 강남구 논현동 108 논현웰스톤,37.5184174,127.0380027,강남구,논현,논현동
8835,한끼한상,일반음식점,영업,서울특별시 강남구 논현동 224-10,37.5107394,127.0352163,강남구,논현,논현동
8836,메가엠지씨커피 강남구청점,일반음식점,영업,서울특별시 강남구 삼성동 16 삼성동힐스테이트,37.5174448,127.0467984,강남구,논현,논현동
8837,이스트 서울,일반음식점,영업,서울특별시 강남구 신사동 644-11,37.5263681,127.0355504,강남구,삼성,삼성동
8838,알제이글로벌그룹(주) 카페 비투비씨 로스터리,일반음식점,영업,서울특별시 강남구 개포동 1238-2 금화빌딩,37.4782412,127.0454099,강남구,신사,신사동
8839,구단주,일반음식점,영업,서울특별시 강남구 청담동 92-4 삼이빌딩,37.5240369,127.0433441,강남구,개포,개포동
8840,텐핑거,일반음식점,영업,서울특별시 강남구 청담동 86-6 옴므빌딩,37.5239916,127.0399157,강남구,청담,청담동
8841,논현제퍼빈스,일반음식점,영업,서울특별시 강남구 논현동 221-7 한양수자인 어반게이트,37.5096909,127.0334919,강남구,청담,청담동
8842,프리미엄 직화삼겹 최돼지 역삼직영점,일반음식점,영업,서울특별시 강남구 역삼동 769-1 삼환 아르누보,37.4958223,127.0399377,강남구,논현,논현동
8843,육오칠,일반음식점,영업,서울특별시 강남구 신사동 657-17,37.5257762,127.0375831,강남구,역삼,역삼동
8844,혜성키친,일반음식점,영업,서울특별시 강남구 역삼동 719-24 역삼역센트럴푸르지오,37.500326,127.036087,강남구,신사,신사동
8845,달래해장 역삼GS점,일반음식점,영업,서울특별시 강남구 역삼동 669-8,37.5030498,127.0370529,강남구,역삼,역삼동
8846,(주)제시앤코(까사알렉시스 도산점),일반음식점,영업,서울특별시 강남구 논현동 60-7 논현빌딩,37.5165672,127.021503,강남구,역삼,역삼동
8847,생활맥주 역삼역 4번출구점,일반음식점,영업,서울특별시 강남구 역삼동 644-18,37.5012956,127.0349785,강남구,논현,논현1동
8848,르쏠(LE SOL),일반음식점,영업,서울특별시 강남구 대치동 983-1 S-TOWER,37.5034607,127.065435,강남구,역삼,역삼1동
8849,커피가든,일반음식점,영업,서울특별시 강남구 청담동 41-2 금하빌딩,37.5176253,127.0416591,강남구,대치,대치동
8850,토리키치 압구정로데오2호점,일반음식점,영업,서울특별시 강남구 신사동 656-2,37.5255951,127.0374953,강남구,청담,청담동
