,name,service_name,code,gu,dong,address_1,address_2,lat,lng
16,호텔 더 디자이너스 리즈 강남 프리미어,관광숙박업,CDFI2260032016000003,강남구,논현동,서울특별시 강남구 논현동 201-4번지,"서울특별시 강남구 봉은사로 113 (논현동, 호텔 더 디자이너스 리즈 강남 프리미어)",37.5051696,127.0258422
17,강남 스테이 호텔,관광숙박업,CDFI2260032016000006,강남구,역삼동,서울특별시 강남구 역삼동 736-51,"서울특별시 강남구 논현로87길 15-4 (역삼동, 강남스테이관광호텔)",37.4994755,127.0352252
18,호텔 소울하다,관광숙박업,CDFI2260032016000007,강남구,역삼동,서울특별시 강남구 역삼동 823-43번지,서울특별시 강남구 테헤란로10길 5 (역삼동),37.49873060000001,127.0324602
19,어바웃스테이 신사점,관광숙박업,CDFI2260032016000009,강남구,신사동,서울특별시 강남구 신사동 502-11,"서울특별시 강남구 강남대로 620, 3층 (신사동, 영일빌딩)",37.517118,127.019696
20,호텔 디 아티스트 역삼,관광숙박업,CDFI2260032016000010,강남구,역삼동,서울특별시 강남구 역삼동 678-13,서울특별시 강남구 테헤란로29길 11 (역삼동),37.5024126,127.0384893
21,카파스 호텔,관광숙박업,CDFI2260032016000011,강남구,역삼동,서울특별시 강남구 역삼동 719-20,"서울특별시 강남구 언주로89길 21 (역삼동, CAPACEHotel)",37.5015401,127.0411241
22,도미인 서울 강남,관광숙박업,CDFI2260032016000012,강남구,역삼동,서울특별시 강남구 역삼동 603-1,서울특별시 강남구 봉은사로 134 (역삼동),37.5056124,127.0294692
23,호텔 유리앤,관광숙박업,CDFI2260032017000001,강남구,삼성동,서울특별시 강남구 삼성동 158번지,서울특별시 강남구 삼성로96길 20 (삼성동),37.5165052,127.0505711
24,호텔 컬리넌 개포,관광숙박업,CDFI2260032017000002,강남구,개포동,서울특별시 강남구 개포동 1229-8,서울특별시 강남구 논현로 74-1 (개포동),37.4802905,127.0626272
25,호텔 엔트라,관광숙박업,CDFI2260032017000003,강남구,청담동,서울특별시 강남구 청담동 48-3번지,서울특별시 강남구 도산대로 508 (청담동),37.5240354,127.0484871
26,(주)호텔롯데 L7 강남,관광숙박업,CDFI2260032017000005,강남구,삼성동,서울특별시 강남구 삼성동 142-41,"서울특별시 강남구 테헤란로 415, L7 HOTELS 강남타워 (삼성동)",37.5056691,127.0516276
27,호텔 글래드 강남 코엑스센터,관광숙박업,CDFI2260032017000006,강남구,대치동,서울특별시 강남구 대치동 995-16,서울특별시 강남구 테헤란로 610 (대치동),37.5088502,127.0645371
28,오월호텔,관광숙박업,CDFI2260032018000001,강남구,역삼동,서울특별시 강남구 역삼동 723-3번지,서울특별시 강남구 언주로85길 27 (역삼동),37.5006034,127.0410859
29,포포인츠바이쉐라톤서울강남,관광숙박업,CDFI2260032018000002,강남구,신사동,서울특별시 강남구 신사동 587-21번지,서울특별시 강남구 도산대로 203 (신사동),37.5202537,127.0284784
30,호텔 세느,관광숙박업,CDFI2260032018000003,강남구,역삼동,서울특별시 강남구 역삼동 628-12 호텔 세느,"서울특별시 강남구 논현로 533, 호텔 세느 (역삼동)",37.50399,127.03533
31,호텔 뉴브,관광숙박업,CDFI2260032018000004,강남구,역삼동,서울특별시 강남구 역삼동 708-35번지,서울특별시 강남구 선릉로85길 6 (역삼동),37.5030217,127.0491112
32,호텔 컬리넌 역삼,관광숙박업,CDFI2260032013000002,강남구,역삼동,서울특별시 강남구 역삼동 720-23번지,서울특별시 강남구 언주로87길 11 (역삼동),37.5013876,127.0420857
33,호텔 신라스테이 역삼(Hotel Shilla Stay Yeoksam),관광숙박업,CDFI2260032014000001,강남구,역삼동,서울특별시 강남구 역삼동 675-3,서울특별시 강남구 언주로 517 (역삼동),37.5000776,127.0385419
34,호텔안테룸서울,관광숙박업,CDFI2260032020000002,강남구,신사동,서울특별시 강남구 신사동 561-19,서울특별시 강남구 도산대로 153 (신사동),37.5188499,127.025219
35,(주)조선호텔앤리조트 조선팰리스강남,관광숙박업,CDFI2260032021000002,강남구,역삼동,서울특별시 강남구 역삼동 676 센터필드,"서울특별시 강남구 테헤란로 231, 센터필드 (역삼동)",37.5030426,127.041588
36,그랜드인터컨티넨탈 서울 파르나스,관광숙박업,CDFI2260032003000003,강남구,삼성동,서울특별시 강남구 삼성동 159-8,"서울특별시 강남구 테헤란로 521 (삼성동, 그랜드인터콘티넨탈호텔)",37.508483,127.061025
37,이비스 스타일 앰배서더 강남,관광숙박업,CDFI2260032003000005,강남구,대치동,서울특별시 강남구 대치동 893-1,서울특별시 강남구 삼성로 431 (대치동),37.5051111,127.0570687
38,렉스 관광 호텔,관광숙박업,CDFI2260032004000001,강남구,논현동,서울특별시 강남구 논현동 18-2,"서울특별시 강남구 강남대로 588 (논현동, 렉스관광호텔)",37.514339,127.0204399
39,파크하얏트서울,관광숙박업,CDFI2260032005000001,강남구,대치동,서울특별시 강남구 대치동 995-14,"서울특별시 강남구 테헤란로 606 (대치동, 호텔아이파크(주))",37.5087934,127.0645461
40,베스트웨스턴 프리미어 강남호텔,관광숙박업,CDFI2260032005000002,강남구,논현동,서울특별시 강남구 논현동 205-9번지,"서울특별시 강남구 봉은사로 139 (논현동, 베스트웨스턴 강남호텔)",37.50634,127.029774
41,라까사호텔,관광숙박업,CDFI2260032007000002,강남구,신사동,서울특별시 강남구 신사동 527-2,"서울특별시 강남구 도산대로1길 83 (신사동, 까사미아호텔)",37.521989,127.0195488
42,AC 호텔 바이 메리어트 서울 강남,관광숙박업,CDFI2260032012000002,강남구,역삼동,서울특별시 강남구 역삼동 642,서울특별시 강남구 테헤란로25길 10 (역삼동),37.501255,127.0354559
43,호텔리베라서울,관광숙박업,CDFI2260031978000002,강남구,청담동,서울특별시 강남구 청담동 53-7,"서울특별시 강남구 영동대로 737 (청담동, 호텔리베라)",37.5238934,127.0541241
44,삼정관광호텔,관광숙박업,CDFI2260031982000001,강남구,역삼동,서울특별시 강남구 역삼동 604-11,"서울특별시 강남구 봉은사로 150 (역삼동, 삼정관광호텔)",37.5058338,127.0311099
45,자이안트,관광숙박업,CDFI2260031987000002,강남구,삼성동,서울특별시 강남구 삼성동 45-10,"서울특별시 강남구 봉은사로 459 (삼성동, 자이언트관광호텔)",37.5123205,127.0497696
