,brand,store,gu,dong,address_1,address_2,lat,lng
244,GS25,GS25일원으뜸점,강남구,일원동,일원1동 682,"강남구 일원로5길6, 1층",37.49065034,127.08151223
245,GS25,GS25자곡라르고점,강남구,자곡동,일부,"강남구 자곡로201, 강남더샵라르고 1층 101호, 102호",37.47527538,127.10461749
246,GS25,GS25자곡베스트점,강남구,자곡동,"자곡동 621, 엘에이치강남3단지","강남구 자곡로3길22, 상가동 104호, 105호",37.47073776,127.09094708
247,GS25,GS25지에스강남점,강남구,역삼동,역삼1동 679,강남구 논현로508,37.50176474,127.03680391
248,GS25,GS25지에스본점,강남구,역삼동,"역삼동 642-5, 호양빌딩","강남구 논현로93길3, 1층",37.5018743,127.0358751
249,GS25,GS25지에스사랑점,강남구,역삼동,역삼동 718-16,"강남구 테헤란로28길3-10, 1층",37.50098452,127.03947172
250,GS25,GS25지에스스낵바점,강남구,역삼동,역삼동 679,강남구 논현로508,37.50176474,127.03680391
251,GS25,GS25지에스타워점,강남구,역삼동,역삼동 678-11,강남구 테헤란로27길12,37.5022613,127.03803032
252,GS25,GS25차병원본점,강남구,역삼동,"역삼동 650-9, 강남차병원","강남구 논현로566, 지하1층",37.50666663,127.03461454
253,GS25,GS25청담88점,강남구,청담동,청담동 88-3,"강남구 도산대로55길22, 지하1층",37.52493526,127.0406694
254,GS25,GS25청담골프존점,강남구,청담동,"청담동 68, 골프존센터알앤디센터","강남구 영동대로141길5, 지하2층",37.52329733,127.05432267
255,GS25,GS25청담미래점,강남구,청담동,"청담동 93-3, 라임빌딩","강남구 도산대로61길10, 1층",37.5245936,127.04298169
256,GS25,GS25청담빌리지점,강남구,청담동,청담동 15-5,"강남구 삼성로147길34, 1층",37.52081081,127.04652564
257,GS25,GS25청담사거리점,강남구,청담동,"1층,4호","강남구 도산대로510,",37.52393846,127.04888424
258,GS25,GS25청담삼익점,강남구,청담동,청담동 133-6,"강남구 학동로101길7, 1층 103호,104호",37.52085473,127.05761157
259,GS25,GS25청담센터점,강남구,청담동,청담동 83-9,"강남구 선릉로158길9, 지하1층",37.52570309,127.04090846
260,GS25,GS25청담여신점,강남구,청담동,청담동 98,"강남구 도산대로75길8, 1층",37.52476383,127.04620381
261,GS25,GS25청담우리본점,강남구,청담동,청담동 31-16,"강남구 학동로77길18, 2층",37.51984773,127.04889091
262,GS25,GS25청담자이점,강남구,청담동,청담동 131-14,"강남구 영동대로138길9, 108호",37.5227916,127.05643328
263,GS25,GS25청담중앙점,강남구,청담동,청담동 21-9,강남구 선릉로148길32,37.52263164,127.04215828
264,GS25,GS25청담진흥점,강남구,삼성동,"삼성1동 53-2, 진흥아파트","강남구 학동로88길5, 상가내 1층 5호",37.51899624,127.05281583
265,GS25,GS25청담칼릭스점,강남구,청담동,"청담동 125, 청담칼릭스빌","강남구 도산대로89길12, 105호",37.52526951,127.05081324
266,GS25,GS25청담타운점,강남구,청담동,"청담동 7-9, 청원빌딩","강남구 삼성로145길16, 1층",37.52258899,127.04691028
267,GS25,GS25코스모타워점,강남구,대치동,"대치2동 1002, 코스모타워","강남구 영동대로416, B1호 층107",37.50656229,127.06533543
268,GS25,GS25코엑스인터신협점,강남구,삼성동,삼성동 159,"강남구 봉은사로524, B3",37.51242144,127.05881483
269,GS25,GS25코엑스호텔점,강남구,삼성동,"삼성동 159, 코엑스인터컨티넨탈아케이드",강남구 봉은사로524,37.51242144,127.05881483
270,GS25,GS25파르나스몰점,강남구,삼성동,삼성동 159-8,"강남구 테헤란로521, 지하1층 R32, R33",37.5090411,127.06090456
271,GS25,GS25파르나스타워점,강남구,삼성동,T1,"강남구 테헤란로521, 1층",37.5090411,127.06090456
272,GS25,GS25포이그린점,강남구,개포동,개포4동 1255-6,강남구 개포로25길15,37.47997769,127.04798318
273,GS25,GS25포이점,강남구,개포동,개포4동 1219-5,"강남구 개포로22길40, 1층",37.47653727,127.0493044
274,GS25,GS25포이한라점,강남구,개포동,개포4동 1177-4,"강남구 논현로4길43, 1층",37.47417164,127.05318961
